Date,GOOG
2020-01-02,
2020-01-03,-0.0049072021190028625
2020-01-06,0.02465709722858067
2020-01-07,-0.0006240058108626378
2020-01-08,0.0078803312458533
2020-01-09,0.011044498660444546
2020-01-10,0.006972683152545844
2020-01-13,0.006644611311070969
2020-01-14,-0.005801696531653633
2020-01-15,0.005814566043742975
2020-01-16,0.008685381061763975
2020-01-17,0.019763080830444757
2020-01-21,0.0027087522382249762
2020-01-22,0.0010441435814609878
2020-01-23,0.00047112841292906715
2020-01-24,-0.013412748897926763
2020-01-27,-0.022369750937305866
2020-01-28,0.01301348341026265
2020-01-29,0.004178791956415795
2020-01-30,-0.00191278052224364
2020-01-31,-0.014843654425564567
2020-02-03,0.036054162611075524
2020-02-04,-0.02615852366173166
2020-02-05,0.0008016434745690137
2020-02-06,0.019333945835686484
2020-02-07,0.0020322036807891575
2020-02-10,0.019909056489549437
2020-02-11,7.290170721874212e-05
2020-02-12,0.0062831674542604965
2020-02-13,-0.002377696526390638
2020-02-14,0.004014073070846003
2020-02-18,-0.0007035695095369832
2020-02-19,0.004619356345745063
2020-02-20,-0.0055937468116946665
2020-02-21,-0.02176335574954258
2020-02-24,-0.04277125610748167
2020-02-25,-0.02331193624408734
2020-02-26,0.0034067504810455507
2020-02-27,-0.053898336895228716
2020-02-28,0.016114218896398524
2020-03-02,0.037167860743975156
2020-03-03,-0.03435291028524845
2020-03-04,0.03364420816464819
2020-03-05,-0.048668594407719645
2020-03-06,-0.015640165781074522
2020-03-09,-0.06380879183383747
2020-03-10,0.05333340429899258
2020-03-11,-0.05075014622524365
2020-03-12,-0.08268814406146496
2020-03-13,0.09401650633289482
2020-03-16,-0.11100819573363885
2020-03-17,0.03271153081714595
2020-03-18,-0.020539381136899904
2020-03-19,0.016858123095572886
2020-03-20,-0.038528177665387964
2020-03-23,-0.014641107093276817
2020-03-24,0.07366883664895951
2020-03-25,-0.028180783636211792
2020-03-26,0.05375106376523853
2020-03-27,-0.043933754303851935
2020-03-30,0.0325107243308449
2020-03-31,0.013943001563958779
2020-04-01,-0.04918263567974768
2020-04-02,0.013766005291458105
2020-04-03,-0.020484602296186205
2020-04-06,0.08110179497440084
2020-04-07,-0.0003454606582634634
2020-04-08,0.02003356005057677
2020-04-09,0.0009666538707406858
2020-04-13,0.005043631737295051
2020-04-14,0.04243726747629806
2020-04-15,-0.005326071610070593
2020-04-16,0.0007920980484337203
2020-04-17,0.015655322053968135
2020-04-20,-0.012967087199249994
2020-04-21,-0.039688633527783956
2020-04-22,0.038533630756412585
2020-04-23,0.01037048318280176
2020-04-24,0.0023505260181881926
2020-04-27,-0.0026811746596504538
2020-04-28,-0.0330830178198277
2020-04-29,0.08738960393222994
2020-04-30,0.005352337578998778
2020-05-01,-0.02079845781534284
2020-05-04,0.004687275990052919
2020-05-05,0.018322230651791838
2020-05-06,-0.0028198566843143924
2020-05-07,0.018748614896582305
2020-05-08,0.011518575398176356
2020-05-11,0.010724817376351226
2020-05-12,-0.019611489916146363
2020-05-13,-0.019196966263362203
2020-05-14,0.005039574492222476
2020-05-15,0.012579868052482013
2020-05-18,0.00782848728777541
2020-05-19,-0.0075544868255366104
2020-05-20,0.0241975600068578
2020-05-21,-0.0027865687248619375
2020-05-22,0.005431989486707645
2020-05-26,0.0046794397273848265
2020-05-27,0.0005786412878865388
2020-05-28,-0.0007828706894436044
2020-05-29,0.008604366142184183
2020-06-01,0.0020294363957154005
2020-06-02,0.005168264650343479
2020-06-03,-0.0019732673796383216
2020-06-04,-0.016847875276465807
2020-06-05,0.018559928578955054
2020-06-08,0.0057147022847860995
2020-06-09,0.0066016748984378815
2020-06-10,0.006654448123010637
2020-06-11,-0.0423031079567594
2020-06-12,0.006653242618838817
2020-06-15,0.004719796219515793
2020-06-16,0.016107332119895013
2020-06-17,0.0058223526288117
2020-06-18,-0.010447126516551997
2020-06-19,-0.002952721767817801
2020-06-22,0.014067006859271869
2020-06-23,0.008644117858986222
2020-06-24,-0.022152308929468845
2020-06-25,0.006536439690119078
2020-06-26,-0.05649638467483242
2020-06-29,0.02578862097173129
2020-06-30,0.013362305311161782
2020-07-01,0.017282032501250155
2020-07-02,0.0185390610728442
2020-07-06,0.02116474433906923
2020-07-07,-0.007033427695638528
2020-07-08,0.007285275789980616
2020-07-09,0.010020046948111538
2020-07-10,0.020350895901851906
2020-07-13,-0.019717996942818505
2020-07-14,0.006113773501225328
2020-07-15,-0.00456400952716518
2020-07-16,0.0028804638549246864
2020-07-17,-0.0016139335783103004
2020-07-20,0.03310344116566322
2020-07-21,-0.00466234505173635
2020-07-22,0.006461638072601694
2020-07-23,-0.033669285014401806
2020-07-24,-0.002513761782654278
2020-07-27,0.012124029257731817
2020-07-28,-0.019513780096970246
2020-07-29,0.014450094115225243
2020-07-30,0.0061956685980577575
2020-07-31,-0.031662797858506675
